,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,customer_amount,seller_amount,geolocation_city,geolocation_state,mean_order_price,review_score
174,1322,-23.56317165882957,-46.643456141575236,21,0,sao paulo,SP,70.17047619047624,4.0476190476190474
175,1323,-23.565734784650232,-46.64147810312642,11,0,sao paulo,SP,87.86090909090909,4.909090909090909
176,1324,-23.55521473546573,-46.64315074020321,1,0,sao paulo,SP,59.9,5.0
177,1325,-23.557390163497683,-46.64445833667601,4,0,sao paulo,SP,82.745,4.0
178,1326,-23.556539014688955,-46.645439561798014,4,0,sao paulo,SP,46.4475,4.0
179,1327,-23.565113424714433,-46.644944579328765,21,0,sao paulo,SP,106.53523809523809,4.523809523809524
180,1328,-23.55599268648501,-46.64679480230546,4,0,sao paulo,SP,82.72,4.75
181,1329,-23.5619775213248,-46.64728109566715,12,0,sao paulo,SP,97.85416666666667,4.166666666666667
182,1330,-23.55903788611603,-46.64945883730207,6,0,sao paulo,SP,114.03333333333332,4.0
183,1331,-23.562664414712174,-46.649996658057816,6,0,sao paulo,SP,64.015,4.5
184,1332,-23.55956858757865,-46.65245164487604,2,0,sao paulo,SP,110.005,4.0
185,1333,-23.566435052408952,-46.647563596618966,7,0,sao paulo,SP,59.64999999999999,3.857142857142857
186,1401,-23.575807250351694,-46.65865462724656,12,0,sao paulo,SP,154.54166666666666,4.25
187,1402,-23.57483739004907,-46.65739203989355,3,0,sao paulo,SP,173.6,5.0
188,1403,-23.56875503877107,-46.65340944414582,22,3,sao paulo,SP,114.43727272727273,4.545454545454546
189,1404,-23.568544733628457,-46.655780276658064,12,0,sao paulo,SP,117.14833333333331,4.583333333333333
190,1405,-23.564762579634404,-46.65513838518372,9,0,sao paulo,SP,109.88222222222223,4.666666666666667
191,1406,-23.57481433896783,-46.67029927274052,2,0,sao paulo,SP,296.76,4.0
192,1407,-23.576111884428972,-46.67139205737761,9,0,sao paulo,SP,473.4044444444444,4.111111111111111
193,1408,-23.56711189502812,-46.66081341581777,10,7,sao paulo,SP,123.728,4.4
194,1409,-23.56146082458663,-46.6582620039177,16,0,sao paulo,SP,197.17562500000003,4.5625
195,1410,-23.56283144586961,-46.66092524802456,14,0,sao paulo,SP,123.37142857142858,4.285714285714286
196,1411,-23.564247867542992,-46.664059567949934,14,7,sao paulo,SP,97.96928571428575,4.5
197,1412,-23.563651580737666,-46.666024121075246,2,0,sao paulo,SP,134.95,5.0
198,1413,-23.561814504124463,-46.664033954271915,3,0,sao paulo,SP,118.63,4.666666666666667
199,1414,-23.559623493719684,-46.6634964553206,4,0,sao paulo,SP,181.1525,4.0
200,1415,-23.55609171648326,-46.660462198375605,38,0,sao paulo,SP,79.25789473684212,3.8157894736842106
201,1416,-23.560692913961418,-46.667688532670496,16,0,sao paulo,SP,58.989374999999995,4.0
202,1417,-23.552778853099586,-46.63393189503632,5,2,sao paulo,SP,163.176,4.4
203,1418,-23.56411614903986,-46.65527239864382,2,0,sao paulo,SP,434.25,4.5
204,1419,-23.563541620009776,-46.65594961304885,18,0,sao paulo,SP,100.83222222222224,4.166666666666667
205,1420,-23.5634354904988,-46.65791603919699,14,1,sao paulo,SP,131.76642857142858,4.142857142857143
206,1421,-23.563299264968794,-46.66015369245716,11,10,sao paulo,SP,72.66272727272727,5.0
207,1422,-23.563961910707363,-46.661132368415885,17,0,sao paulo,SP,80.83411764705883,3.764705882352941
208,1423,-23.56914511719341,-46.65734766505129,32,0,sao paulo,SP,132.29500000000002,4.4375
209,1424,-23.56804145680593,-46.66139884320943,18,0,sao paulo,SP,136.5988888888889,4.777777777777778
210,1425,-23.572898532495433,-46.65924739236763,4,0,sao paulo,SP,137.4475,4.75
211,1426,-23.565860397098273,-46.66603169632676,1,0,sao paulo,SP,49.99,5.0
212,1427,-23.57104476479159,-46.66406861421766,2,0,sao paulo,SP,56.94499999999999,5.0
213,1428,-23.573938872860044,-46.66232632374679,0,0,sao paulo,SP,0.0,
214,1429,-23.5763844555291,-46.66290000707434,3,0,sao paulo,SP,59.99666666666667,5.0
215,1430,-23.65614006235602,-46.66250204609212,2,0,sao paulo,SP,113.66,4.5
216,1431,-23.62038877983607,-46.66476818452366,1,0,sao paulo,SP,21.9,5.0
217,1432,-23.576485879805993,-46.6657860583567,1,0,sao paulo,SP,584.9,5.0
218,1433,-23.57840745461661,-46.66837295595988,3,0,sao paulo,SP,110.56666666666666,5.0
219,1434,-23.574646544842803,-46.672377399015254,4,0,sao paulo,SP,99.9675,4.0
220,1435,-23.579321845605367,-46.67017866896868,2,0,sao paulo,SP,29.9,5.0
221,1436,-23.57245538592821,-46.66798871616942,0,0,sao paulo,SP,0.0,
222,1437,-23.5721412540443,-46.67150329618943,0,0,sao paulo,SP,0.0,
223,1438,-23.56980370877425,-46.67226487905968,1,0,sao paulo,SP,46.4,5.0
